,house_price_rotterdam,rental_agency_rotterdam,postcode_rotterdam,bedrooms_rotterdam,surface_rotterdam
458,1490.0,Expat Housing Rotterdam ,3063BA,3,85
459,1995.0,Overbruggingsverhuur.nl,3051SM,4,140
460,1000.0,iRooms and Houses,3063AL,1,25
461,1950.0,Residential Real Estate,3011BT,3,115
462,1700.0,Maasstad Woningverhuur,3071HK,3,122
463,1750.0,Riva Rentals,3072NX,4,100
464,1250.0,Rotterdam Apartments,3031PX,3,68
465,730.0,HomeRent,3081VJ,2,45
466,1950.0,EHR Rotterdam ,3039DP,3,69
467,1495.0,Riva Rentals,3067RR,4,101
468,1350.0,Riva Rentals,3033EL,2,85
469,750.0,Rotterdam Rent,3037CA,1,35
470,1250.0,Kolpa Makelaars B.V.,3011EK,3,67
471,1000.0,HouseHunting Den Bosch,3073ZT,2,60
472,4000.0,IRIS Housing Rotterdam,3045BD,6,200
473,1500.0,VERRA Real Estate Rotterdam,3012GH,2,85
474,925.0,RandstadHousing,3025AR,2,60
475,1150.0,University Housing,3063AM,1,27
476,1795.0,Riva Rentals,3012CC,3,67
477,1400.0,Hospitality Apartments,3032GB,3,65
478,1420.0,Rotterdam Apartments,3061KS,3,75
479,1500.0,Ideaal Housing & Makelaars,3074JB,4,90
480,1300.0,Verhuurmakelaar Hsiang,3022XC,3,84
481,1250.0,Ideaal Housing & Makelaars,3074HW,4,110
482,1499.0,Mijn Huis Makelaardij,3071KS,3,93
483,1250.0,ViaDaan,3032AS,3,83
484,1750.0,ViaDaan,3022DM,3,150
485,1250.0,Dop & Dop Consultancy,3031AX,3,70
486,1275.0,TVN Real Estate,3067NK,3,88
487,1750.0,Max Property Rentals,3071AE,3,100
488,1250.0,Perfectrent,3023ZL,2,55
489,1650.0,VERRA Real Estate Rotterdam,3016BE,3,84
490,1300.0,Immobilia Real Estate,3062LK,3,60
491,1395.0,Riva Rentals,3077MH,3,80
492,1750.0,Riva Rentals,3024EG,3,103
493,1595.0,Riva Rentals,3071PR,2,110
494,1295.0,Riva Rentals,3012XH,2,60
495,1650.0,Hospitality Apartments,3011XZ,3,75
496,1650.0,VERRA Real Estate Rotterdam,3039TN,3,67
497,1650.0,HouseHunting Rotterdam,3064LB,5,100
498,1250.0,De Bloois Vastgoed,3083EG,4,92
499,2100.0,DW Housing,3072EB,5,130
500,975.0,Ooms Makelaars Woningen,3062TT,2,45
501,3250.0,Kolpa Makelaars B.V.,3054KZ,7,130
502,1000.0,Riva Rentals,3083DB,2,48
503,1395.0,Riva Rentals,3016BE,3,95
504,1395.0,Riva Rentals,3063CC,3,76
505,1650.0,Interhouse verhuurmakelaars Rotterdam,3011HE,3,90
506,1250.0,Expat Housing Rotterdam ,3052TH,4,64
507,2050.0,Expat Housing Rotterdam ,3054RZ,3,115
508,1495.0,Rotterdam Apartments,3012VE,3,83
509,1550.0,BenHousing,3061BH,3,90
510,2800.0,Klop Real Estate,3062EK,5,160
